Name,Price,Rating,Reviews,Category,Region,Type,ABV,IBU,Tasting_Notes,Food_Pairing,Suggested_Glassware,Suggested_Serving_Temperature,Calories Per Serving (12 Oz),Carbs Per Serving (12 Oz),Features
Ace Pineapple Cider,11.99,4.7,25,Cider,"California, United States","Craft, Independent Craft Brewer",5%,1,"Sweet, Apple, Tropical Fruit","Dessert - Fruit, Cheese - Fresh & Soft","Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,Gluten Reduced
Station 26 Tangerine Cream,10.99,4.7,12,Cream Ale,"Colorado, United States",Craft,5.2%,,,,Pint Glass,45-50° F,,,
Miller 64 Extra Light Lager,26.98,4.7,13,Light Lager,"Wisconsin, United States",,2.8%,,"Dry, Light",Nuts,Pint Glass,35-40° F,64,2.4,
Lindemans Framboise Lambic,7.49,4.8,15,Fruit Lambic,Belgium,Craft,2.5%,12,"Fruity, Sweet, Red Fruit, Rich","Cheese - Fresh & Soft, Dessert - Chocolate & Coffee, Dessert - Fruit, Dessert - Vanilla & Caramel, Duck & Game Bird, Fish - Meaty & Oily, Fruit - Dried, Fruit - Sweet, Salads & Greens",Snifter/Goblet/Chalice,45-50° F,,,
3 Floyds Brewing Gumballhead,13.99,4.8,4,Wheat Ale,"Indiana, United States","Craft, Independent Craft Brewer",5.6%,38,"Citrus, Fresh, Hoppy, Nectarine, Tropical Fruit","Fish - White, Salads & Greens",Pint Glass,45-50° F,,,
Tecate Alta,3.99,5,3,American-Style Lager,Mexico,,4%,5,"Balanced, Crisp",,Pilsner Glass,35-40° F,85,2.4,
Red Stripe,15.99,4.8,33,Pale Lager,Jamaica,,4.7%,23,"Light, Dry, Grainy",Nuts,Pint Glass,40-45° F,,,
Boddingtons Pub Ale,36.5,4.8,13,English Pale Ale / Bitter / ESB,United Kingdom,,4.6%,26,"Bready, Sweet, Malty, Biscuit","Duck & Game Bird, Chicken","Pint Glass, Stein/Pub Mug",45-50° F,,,
Allagash Tripel,10.99,4.8,7,Tripel,"Maine, United States","Craft, Independent Craft Brewer",9%,18,"Strong, Balanced, Stone Fruit, Floral","Beef, Cheese - Blue, Cheese - Creamy & Bloomy, Cheese - Fresh & Soft, Cheese - Hard Aged, Cheese - Nutty & Semi-Firm, Cheese - Stinky, Chicken, Cured Meats, Dessert - Chocolate & Coffee, Dessert - Fruit, Dessert - Vanilla & Caramel, Duck & Game Bird, Fish - Meaty & Oily, Fish - White, Fruit - Citrus, Fruit - Dried, Fruit - Sweet, Lamb, Mushrooms, Nuts, Pasta, Pork, Root Vegetables, Salads & Greens, Shellfish, Tomatoes, Turkey",Snifter/Goblet/Chalice,50-55° F,,,
Denver Beer Co. Princess Yum Yum Raspberry Kolsch,10.99,4.9,4,Kölsch,"Colorado, United States",Craft,4.8%,,"Flavored, Red Fruit, Tart, Light","Beef, Cheese - Fresh & Soft, Fruit - Dried, Root Vegetables, Salads & Greens",Stange,40-45° F,,,
Smirnoff Ice Smash Screwdriver,1.99,4.3,6,Malt Liquor,United States,,8%,,,,Pint Glass,35-40° F,,,
"Founders Breakfast Stout, Oatmeal Stout Beer",11.99,4.8,19,Stout,"Michigan, United States",Craft,8.3%,60,"Bold, Chocolate, Coffee, Creamy, Mocha, Roasted, Sweet","Cheese - Fresh & Soft, Cheese - Nutty & Semi-Firm, Dessert - Chocolate & Coffee, Dessert - Vanilla & Caramel, Fruit - Dried, Pork",Snifter/Goblet/Chalice,45-50° F,270,23,
Flying Dog Variety Pack,22.99,4.7,10,Variety Pack Beer,"Maryland, United States","Craft, Variety Pack",8.7%,,,,"Pint Glass, Stein/Pub Mug, Snifter/Goblet/Chalice",,,,
"Wild Nectar Hard Juice Variety Pack, Passionfruit Lime and Strawberry Guava",17.48,,,Hard Seltzer,"Colorado, United States",Craft,5%,,"Guava, Fruity, Passionfruit","Cheese - Fresh & Soft, Cheese - Hard Aged, Cheese - Nutty & Semi-Firm, Dessert - Vanilla & Caramel, Root Vegetables, Salads & Greens, Fruit - Citrus, Fruit - Sweet",,,,,Gluten-Free
Dos Equis Lager Lime & Salt,10.69,4.6,6,Pale Lager,Mexico,,4.2%,10,"Citrus, Flavored, Fruity, Light",,,,135,12,
Smirnoff Ice Raspberry,10.9,4.7,14,Malt Liquor,United States,,4.5%,,"Flavored, Red Fruit, Tart, Acidic","Cheese - Fresh & Soft, Nuts",Pint Glass,35-40° F,,,
Denver Beer Co. Juicy Freak Juicy IPA,11.99,4.9,5,New England / Hazy IPA,"Colorado, United States",Craft,6.5%,,"Citrus, Pear, Stone Fruit, Tropical Fruit",,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Angry Orchard Hard Fruit Cider Peach Mango,11.99,4.7,2,Cider,United States,,5.5%,,,,,,,,
Michelob Ultra Hard Seltzer - Coconut Water Collection,20.78,4,1,Hard Seltzer,"Missouri, United States",Variety Pack,4%,,,,Snifter/Goblet/Chalice,40-45° F,90,4,"Gluten-Free, Organic"
Terrapin Hopsecutioner IPA Craft Beer,10.99,4.8,7,IPA,"Georgia, United States",Craft,7.3%,60,"Caramel, Citrus, Pine, Sweet","Beef, Cheese - Blue","Pint Glass, Snifter/Goblet/Chalice",45-50° F,88,6.4,
Citizen Cider Wit's Up,13.95,4.3,5,Cider,"Vermont, United States","Craft, Independent Craft Brewer",6.2%,,"Round, Dry, Apple, Yeasty","Pork, Cheese - Blue","Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,Gluten-Free
"Founders Centennial IPA, American IPA Beer",10.99,4.4,14,IPA,"Michigan, United States",Craft,7.2%,65,"Bitter, Citrus, Crisp, Floral, Hoppy, Malty, Pine, Sweet","Beef, Cheese - Blue, Cheese - Hard Aged, Chicken, Dessert - Vanilla & Caramel, Lamb, Mushrooms, Pork, Root Vegetables, Salads & Greens, Tomatoes","Pint Glass, Snifter/Goblet/Chalice",45-50° F,220,18,
New Belgium Mountain Time Premium Lager,13.99,4.7,3,American-Style Lager,"Colorado, United States","Craft, Sustainable",4.4%,15,"Crisp, Light","Fruit - Citrus, Mushrooms, Root Vegetables, Salads & Greens",Pint Glass,40-45° F,130,10,Kosher
Magic Hat #9,2.19,4.7,14,Pale Ale,"Vermont, United States",Craft,5.1%,20,"Fruity, Stone Fruit, Dried Fruit, Sweet","Pork, Nuts","Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Hofbrau Original,12.49,4.8,8,Lager,Germany,Craft,5.1%,24,"Balanced, Malty, Minerality, Crisp","Pork, Nuts","Pint Glass, Stein/Pub Mug",40-45° F,,,
The Alchemist Heady Topper,6.99,4.7,6,IPA,"Vermont, United States",Craft,8%,100,,,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Sierra Nevada Wild Little Thing,12.49,4.6,13,Sour / Wild Ale,"California, United States",Craft,5.5%,7,,,Snifter/Goblet/Chalice,,,,
Allagash Curieux,19.99,4.7,8,Tripel,"Maine, United States","Craft, Independent Craft Brewer",10.2%,27,"Honey, Intense, Oak, Smooth, Vanilla","Beef, Cheese - Blue, Cheese - Creamy & Bloomy, Cheese - Fresh & Soft, Cheese - Hard Aged, Cheese - Nutty & Semi-Firm, Cheese - Stinky, Chicken, Cured Meats, Dessert - Chocolate & Coffee, Dessert - Fruit, Dessert - Vanilla & Caramel, Duck & Game Bird, Fish - Meaty & Oily, Fish - White, Fruit - Citrus, Fruit - Dried, Fruit - Sweet, Lamb, Mushrooms, Nuts, Pasta, Pork, Root Vegetables, Salads & Greens, Shellfish, Tomatoes, Turkey",Snifter/Goblet/Chalice,45-50° F,,,
Coronado Weekend Vibes IPA,15.99,5,5,IPA,"California, United States","Craft, Independent Craft Brewer",6.8%,60,"Hoppy, Tropical",,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Smirnoff Ice Pink Lemonade,10.99,4.6,13,Malt Liquor,"Connecticut, United States",,4.5%,,"Berry, Fruity, Sweet, Tart","Cheese - Fresh & Soft, Dessert - Fruit",Pint Glass,35-40° F,,,
Sierra Nevada Little Things Party Variety Pack,21.29,5,1,Variety Pack Beer,"California, United States","Craft, Independent Craft Brewer, Variety Pack",6.7%,,,,,,,,
Saint Arnold Art Car IPA,9.99,4.8,8,IPA,"Texas, United States",Craft,7.1%,55,"Bready, Tropical Fruit, Nectarine, Stone Fruit","Cheese - Fresh & Soft, Fruit - Citrus","Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Guinness Nitro Cold Brew Coffee,9.99,4.4,13,Dry Stout,Ireland,,4%,30,"Chocolate, Coffee, Dry, Roasted, Smooth",,Pilsner Glass,45-50° F,114,8.5,
Flying Embers Bubbly Brut Nature Hard Kombucha,17.99,,,Hard Kombucha,"California, United States",,6.9%,,,,,,,,
Flying Embers Pineapple Chili Hard Kombucha,4.99,4.4,4,Hard Kombucha,United States,,6.8%,,"Fresh, Pineapple, Spicy, Tropical Fruit",,,,130,0.0001,Organic
Flying Embers Sweet & Heat Variety Pack Hard Seltzer,12.99,4.5,4,Hard Seltzer,"California, United States",Variety Pack,5%,,"Citrus, Crisp, Fresh, Fruity, Guava, Pineapple, Spicy, Watermelon",,Snifter/Goblet/Chalice,40-45° F,,,Organic
Daura Damm Crafted to Remove Gluten Lager Beer,8.84,4.6,7,Pale Lager,Barcelona,Craft,5.4%,26,"Bready, Light, Malty","Beef, Chicken, Cured Meats, Turkey",Pint Glass,40-45° F,,,"Gluten Reduced, Gluten-Free"
Two Roads Two Juicy - Hazy Juicy IPA,16.49,4.8,8,New England / Hazy IPA,"Connecticut, United States","Craft, Independent Craft Brewer",8.2%,,"Fresh, Hoppy, Smooth","Cheese - Stinky, Chicken, Fish - White, Fruit - Citrus, Pork, Salads & Greens, Shellfish","Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Avery Maharaja Imperial IPA,8.99,4.8,4,Imperial / Double IPA,"Colorado, United States","Independent Craft Brewer, Craft",10%,102,"Strong, Malty, Hoppy, Thick","Cheese - Nutty & Semi-Firm, Pork",Snifter/Goblet/Chalice,50-55° F,,,
Flying Embers Variety Pack Hard Seltzer,21.99,4.2,3,Hard Seltzer,United States,Variety Pack,5%,,"Berry, Bright, Cherry, Citrus, Floral, Fresh, Fruity, Passionfruit, Rose Petal, Tropical, Tropical Fruit, Watermelon",,Snifter/Goblet/Chalice,40-45° F,95,0,"Gluten-Free, Organic"
Flying Embers Botanicals & Bitters Variety Pack Hard Seltzer,29.99,4.6,4,Hard Seltzer,"California, United States",Variety Pack,5%,,"Bright, Cherry, Floral, Fresh, Fruity, Passionfruit, Rose Petal, Tropical Fruit",,Snifter/Goblet/Chalice,40-45° F,95,0,Organic
New Belgium Mountain Time Premium Lager,13.99,4.7,3,American-Style Lager,"Colorado, United States","Craft, Sustainable",4.4%,15,"Crisp, Light","Fruit - Citrus, Mushrooms, Root Vegetables, Salads & Greens",Pint Glass,40-45° F,130,10,Kosher
Bell's Official Hazy IPA,11.99,4.7,10,New England / Hazy IPA,"Michigan, United States","Craft, Independent Craft Brewer",6.4%,55,"Citrus, Peach, Smooth, Stone Fruit, Tropical",,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,187,,
Five Boroughs Brewing Co. Tiny Juicy IPA,15.99,4.7,7,IPA,"New York, United States",,4.2%,45,,,Pint Glass,45-50° F,,,
Blue Point Toasted Lager,26.99,4.7,9,Amber / Red Ale,"New York, United States",Craft,4.5%,28,"Balanced, Caramel, Grainy, Toasty","Fish - Meaty & Oily, Shellfish",Pint Glass,45-50° F,,,
Night Shift The 87 Hazy New England DIPA,16.99,4.7,8,New England / Hazy IPA,"Massachusetts, United States","Craft, Independent Craft Brewer",8%,,"Citrus, Guava, Hoppy, Nectarine, Peach, Stone Fruit, Tropical, Tropical Fruit","Beef, Chicken, Lamb, Mushrooms, Nuts",Snifter/Goblet/Chalice,45-50° F,,,
Mike's Hard Cranberry Lemonade,10.99,4.8,11,Hard Lemonade,"Illinois, United States",,5%,,"Acidic, Flavored, Sweet, Tart","Dessert - Fruit, Nuts",Pint Glass,40-45° F,,,
Grey Sail Captain's Daughter IPA,13.99,4.9,4,Imperial / Double IPA,"Rhode Island, United States",Craft,8.5%,69,,,Snifter/Goblet/Chalice,50-55° F,,,
Union Duckpin,11.99,4.8,6,Pale Ale,"Maryland, United States",Craft,5.5%,,"Biscuit, Bready, Pine","Cheese - Hard Aged, Beef","Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Other Half Green City,22.99,,,New England / Hazy IPA,"New York, United States",,7%,,,,Snifter/Goblet/Chalice,45-50° F,,,
"Wild Nectar Hard Juice Variety Pack, Passionfruit Lime and Strawberry Guava",17.48,,,Hard Seltzer,"Colorado, United States",Craft,5%,,"Guava, Fruity, Passionfruit","Cheese - Fresh & Soft, Cheese - Hard Aged, Cheese - Nutty & Semi-Firm, Dessert - Vanilla & Caramel, Root Vegetables, Salads & Greens, Fruit - Citrus, Fruit - Sweet",,,,,Gluten-Free
Simply Spiked Signature Hard Lemonade,3.99,,,Hard Lemonade,United States,,5%,,,,,,,,
Maine Beer Company Peeper Ale,7.49,4.8,7,American Pale Ale,"Maine, United States","Craft, Independent Craft Brewer",5.5%,45,"Balanced, Citrus, Grapefruit, Hoppy","Chicken, Nuts",Pint Glass,45-50° F,,,
Firestone Walker Mind Haze,11.49,4.6,14,New England / Hazy IPA,"Paso Robles, United States",Craft,6.2%,40,"Bold, Bright, Citrus, Coconut, Creamy, Crisp, Flavored, Fresh, Grapefruit, Hoppy, Melon, Melon - Honeydew, Pineapple, Smooth, Tropical, Tropical Fruit","Fruit - Citrus, Fruit - Dried, Fruit - Sweet","Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Vizzy Hard Seltzer Mimosa Variety Pack,20.49,4.6,1,Hard Seltzer,"Colorado, United States",Variety Pack,5%,,,,Snifter/Goblet/Chalice,40-45° F,,,
Jack Daniel’s Country Cocktails Watermelon Punch,9.69,4.6,9,Malt Liquor,"Tennessee, United States",,4.8%,,,,Pint Glass,35-40° F,,,
Oskar Blues Mama's Little Yella Pils,17.99,4.7,4,Pilsner,"Colorado, United States",Craft,4.7%,35,"Floral, Bready, Light","Cured Meats, Fruit - Sweet",Pilsner Glass,40-45° F,,,
Labatt Blue,13.99,4.8,15,Pilsner,Canada,,5%,12,"Dry, Light, Bright","Beef, Chicken, Pork",Pilsner Glass,40-45° F,,,
Blue Moon Moon Haze Hazy Pale Ale,18.99,4.4,3,Pale Ale,"Colorado, United States",Craft,5.7%,30,"Citrus, Coconut, Creamy, Sweet, Tropical, Tropical Fruit","Chicken, Salads & Greens",Pint Glass,45-50° F,,,
Seattle Cider Dry,11.99,4.7,7,Cider,"Washington, United States",,6.5%,,"Apple, Dry, Balanced","Pork, Duck & Game Bird","Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,Gluten Reduced
George Killian's Irish Red,14.99,4.9,8,Amber / Vienna Lager,"Colorado, United States",,5.4%,14,,,"Pint Glass, Pilsner Glass",45-50° F,,,
Finback Rolling In Clouds,18.99,4.7,2,New England / Hazy IPA,"New York, United States",Craft,7.1%,,,,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Sixpoint Higher Volume Variety Pack,21.0,4.7,1,Variety Pack Beer,"New York, United States","Craft, Variety Pack",5.4%,,,,"Pint Glass, Stein/Pub Mug, Snifter/Goblet/Chalice",,,,
Oskar Blues Canundrum Variety Pack,18.99,4.8,7,Variety Pack Beer,"Colorado, United States","Craft, Variety Pack",6%,,,,"Pint Glass, Stein/Pub Mug, Snifter/Goblet/Chalice",,,,
New Belgium Honey Orange Tripel,14.99,4.9,6,Tripel,"Colorado, United States",Craft,10%,25,"Citrus, Honey, Smooth, Strong","Cheese - Stinky, Cured Meats, Root Vegetables, Salads & Greens, Shellfish",Snifter/Goblet/Chalice,45-50° F,285,20,
TRULY Vodka Soda Cherry & Lime,11.37,,,Hard Seltzer,"Massachusetts, United States",,5%,,"Cherry, Light, Crisp","Beef, Salads & Greens, Chicken",,,110,4,"Gluten Reduced, Gluten-Free"
Citizen Cider The Dirty Mayor,8.24,4.6,13,Cider,"Vermont, United States","Craft, Independent Craft Brewer",5.2%,10,"Spicy, Apple, Smooth","Beef, Root Vegetables","Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,Gluten-Free
Kane Head High IPA,13.99,5,4,IPA,"New Jersey, United States",,6.6%,,,,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
"Founders Dirty Bastard, Scotch Ale Beer",11.99,4.8,10,Scotch Ale / Wee Heavy,"Michigan, United States",Craft,8.5%,50,"Balanced, Bitter, Bold, Caramel, Dark Fruit, Fig, Malty, Rich, Smoky, Smooth, Sweet","Beef, Cheese - Blue, Cheese - Creamy & Bloomy, Dessert - Chocolate & Coffee, Dessert - Vanilla & Caramel, Duck & Game Bird, Fruit - Dried, Lamb, Pork, Salads & Greens, Shellfish",Snifter/Goblet/Chalice,55-60° F,270,25.9,
Upslope Craft Lager,10.99,4.6,6,Pale Lager,"Colorado, United States",Craft,4.8%,15,"Light, Sweet, Malty, Creamy","Beef, Dessert - Fruit",Pint Glass,40-45° F,,,
TRULY Vodka Soda Blackberry & Lemon,11.37,,,Hard Seltzer,"Massachusetts, United States",,5%,,"Crisp, Light","Beef, Chicken, Salads & Greens",,,110,4,"Gluten-Free, Gluten Reduced"
Downeast Cider Double Blend,11.99,4.8,10,Cider,"Massachusetts, United States",,7.3%,15,,,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,Gluten Reduced
Voodoo Ranger Juice Force Hazy Imperial IPA,12.99,4.5,42,Imperial / Double IPA,"Colorado, United States",Craft,9.5%,30,"Citrus, Fruity, Hoppy, Passionfruit","Beef, Cheese - Blue, Cheese - Creamy & Bloomy, Cheese - Fresh & Soft, Cheese - Hard Aged, Cheese - Nutty & Semi-Firm, Cheese - Stinky, Cured Meats, Root Vegetables, Salads & Greens",Snifter/Goblet/Chalice,45-50° F,,,Kosher
Budweiser Chelada Picante with Clamato,3.69,4.6,14,Spice / Herb / Vegetable Beer,"Missouri, United States",,4.2%,,,,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Yuengling Black & Tan,8.99,4.9,8,Black & Tan,"Pennsylvania, United States",Craft,4.6%,12,"Roasted, Caramel, Malty, Minerality","Nuts, Lamb",Pint Glass,45-50° F,153,,
Atlas Ponzi IPA,13.1,4.9,2,IPA,"Washington, DC, United States",Craft,7.3%,,,,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Pipeworks Ninja vs. Unicorn,10.99,4.9,5,Imperial / Double IPA,"Illinois, United States",Craft,8%,150,,,Snifter/Goblet/Chalice,50-55° F,,,
Flying Dog Bloodline Blood Orange IPA,13.99,4.8,5,IPA,"Maryland, United States",Craft,8%,40,"Hoppy, Citrus, Bitter, Dry","Chicken, Duck & Game Bird","Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Four Peaks Brewing Company Kilt Lifter,11.99,4.7,7,Scotch Ale / Wee Heavy,United States,Craft,6.7%,21,,,Snifter/Goblet/Chalice,55-60° F,,,
Simply Spiked Strawberry Hard Lemonade,3.99,4.4,1,Hard Lemonade,United States,,5%,,,,,,,,
Mike's Hard Peach Lemonade,10.49,4.2,11,Hard Lemonade,"Illinois, United States",,5%,,,,"Pint Glass, Mason Jar",40-45° F,,,Gluten Reduced
Voodoo Ranger Juice Force Hazy Imperial IPA,12.99,4.5,42,Imperial / Double IPA,"Colorado, United States",Craft,9.5%,30,"Citrus, Fruity, Hoppy, Passionfruit","Beef, Cheese - Blue, Cheese - Creamy & Bloomy, Cheese - Fresh & Soft, Cheese - Hard Aged, Cheese - Nutty & Semi-Firm, Cheese - Stinky, Cured Meats, Root Vegetables, Salads & Greens",Snifter/Goblet/Chalice,45-50° F,,,Kosher
Samuel Smith Organic Chocolate Stout,12.99,4.8,13,Milk Stout,England,Craft,5%,28,"Smooth, Chocolate, Creamy, Mocha","Nuts, Dessert - Fruit",Pint Glass,45-50° F,,,Organic
DC Brau Joint Resolution Hazy IPA,49.99,4.7,3,New England / Hazy IPA,"Washington, DC, United States",,5.5%,,,,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Goose Island Beer Hug Variety Pack,20.99,,,Variety Pack Beer,"Illinois, United States",Variety Pack,9.9%,,,,,,,,
Goose Island 312 Urban Wheat Ale,10.29,4.7,9,Wheat Ale,"Illinois, United States",Craft,4.5%,18,"Bready, Bright, Citrus","Salads & Greens, Fish - White, Cheese - Fresh & Soft",Pint Glass,45-50° F,,,
Kronenbourg 1664 Blanc,12.59,4.6,6,Witbier,"Alsace, France",,5%,7,"Apricot, Citrus, Flavored, Floral, Fresh, Fruity, Light, Peach, Silky, Smooth, Velvety","Cheese - Fresh & Soft, Fish - Meaty & Oily, Fish - White, Fruit - Sweet, Salads & Greens",Snifter/Goblet/Chalice,45-50° F,,,
El Segundo Broken Skull IPA,9.89,4.8,10,IPA,"California, United States",Craft,6.7%,67,,,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
La Chouffe Golden Ale,12.99,4.9,2,Belgian Strong Ale,Belgium,Craft,8%,20,"Strong, Stone Fruit, Honey, Intense","Cheese - Creamy & Bloomy, Cured Meats",Snifter/Goblet/Chalice,50-55° F,,,
Harpoon Juicer Hazy IPA,11.99,,,New England / Hazy IPA,"Massachusetts, United States","Independent Craft Brewer, Craft",7.2%,50,,,Snifter/Goblet/Chalice,45-50° F,,,
Goose Island Hazy Beer Hug,12.99,,,New England / Hazy IPA,"Illinois, United States",Craft,6.8%,,"Guava, Peach, Tropical Fruit",,Snifter/Goblet/Chalice,45-50° F,,,
Tecate Light,13.99,4.6,11,Light Lager,Mexico,,3.9%,7,"Crisp, Dry, Light","Nuts, Chicken",Pint Glass,35-40° F,110,7.9,
Pizza Port Swami's IPA,16.99,4.8,3,IPA,United States,,6.8%,72,,,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Night Shift Fluffinity Hazy New England IPA,16.99,4.7,8,New England / Hazy IPA,"Massachusetts, United States","Craft, Independent Craft Brewer",7%,,"Citrus, Fresh, Fruity, Hoppy, Nectarine, Smooth, Tropical, Tropical Fruit","Cheese - Hard Aged, Fish - Meaty & Oily",Snifter/Goblet/Chalice,45-50° F,,,
Night Shift Hoot Hard Seltzer Variety Pack,19.0,4.6,7,Hard Seltzer,"Massachusetts, United States",Variety Pack,4%,,,,Snifter/Goblet/Chalice,40-45° F,,,
Greater Good Pulp Daddy IPA,17.99,4.7,5,New England / Hazy IPA,"Massachusetts, United States",,8%,,,,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Einstok Icelandic White Ale,14.99,4.8,18,Witbier,Iceland,"Craft, Independent Craft Brewer",5.2%,,"Citrus, Yeasty, Spicy, Smooth","Cheese - Creamy & Bloomy, Chicken, Fish - White, Fruit - Citrus, Salads & Greens, Shellfish",Snifter/Goblet/Chalice,45-50° F,,,
4 Noses Brewing Company 'Bout Damn Time IPA,12.99,4.8,5,IPA,"Colorado, United States",Independent Craft Brewer,7.1%,68,,,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Voodoo Ranger Imperial IPA,12.99,4.7,77,Imperial / Double IPA,"Colorado, United States",Craft,9%,70,"Bitter, Citrus, Hoppy, Strong","Cheese - Blue, Cheese - Creamy & Bloomy, Cheese - Hard Aged, Cheese - Nutty & Semi-Firm, Cheese - Stinky, Cured Meats, Fish - Meaty & Oily, Mushrooms, Root Vegetables",Snifter/Goblet/Chalice,50-55° F,250,17,Kosher
Odell Hazer Tag Hazy IPA,13.99,,,New England / Hazy IPA,"Colorado, United States",Independent Craft Brewer,7%,38,"Citrus, Floral, Fresh, Hoppy, Tropical",,Snifter/Goblet/Chalice,45-50° F,,,
Threes Brewing Vliet Pilsner,17.59,,,Pilsner,"New York, United States",,5.2%,,,,Pilsner Glass,40-45° F,,,
"Twisted Tea Original Party Pouch, Hard Iced Tea",18.69,4.6,7,Hard Iced Tea,"Ohio, United States",,5%,,"Fruity, Herbal, Sweet, Crisp, Smooth","Beef, Chicken, Pork",Mason Jar,40-45° F,,,
Arrogant Bastard Ale,5.99,4.5,9,American Strong Ale,"California, United States",Craft,7.2%,100,"Strong, Bold, Malty, Toasty","Beef, Duck & Game Bird",Snifter/Goblet/Chalice,50-55° F,,,
Wachusett Blueberry,11.0,4.8,1,Fruit Beer,"Massachusetts, United States",Craft,4.5%,10,"Flavored, Blueberry, Sweet",Cheese - Fresh & Soft,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Ommegang OMG Neon Rainbows IPA,14.99,,,New England / Hazy IPA,United States,Craft,6.7%,45,"Bright, Citrus, Fresh, Tropical","Cheese - Hard Aged, Chicken, Fruit - Citrus, Root Vegetables, Tomatoes",Snifter/Goblet/Chalice,45-50° F,,,
Breckenridge Brewery Vanilla Porter,11.49,4.8,12,Porter,"Colorado, United States",Craft,5.4%,16,"Chocolate, Roasted, Vanilla","Dessert - Vanilla & Caramel, Dessert - Chocolate & Coffee","Pint Glass, Stein/Pub Mug",45-50° F,,,
Holidaily Brewing Favorite Gluten Free Blonde Ale,16.99,4.6,1,Golden / Blonde Ale,"Colorado, United States",Craft,5%,20,,,Pint Glass,45-50° F,,,Gluten Reduced
Voodoo Ranger Juicy Haze IPA,12.69,4.8,29,New England / Hazy IPA,"Colorado, United States",Craft,7.5%,42,"Creamy, Hoppy","Cheese - Blue, Cheese - Creamy & Bloomy, Dessert - Vanilla & Caramel, Fish - Meaty & Oily, Mushrooms, Root Vegetables","Pint Glass, Snifter/Goblet/Chalice",45-50° F,230,16,Kosher
Strongbow Original Dry Cider,27.32,4.7,5,Cider,United Kingdom,,5%,,"Apple, Dry, Crisp","Pork, Cheese - Fresh & Soft","Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,Gluten Reduced
Heavy Seas TropiCannon,11.99,4.8,5,IPA,"Maryland, United States",Craft,7.25%,45,"Bright, Citrus, Floral",,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Flying Embers Variety Pack Hard Kombucha,26.49,4.4,4,Hard Kombucha,"California, United States",Variety Pack,6.9%,,"Bright, Citrus, Crisp, Fresh",,,,,,Organic
Cisco Brewers Whale's Tale Pale Ale,30.74,4.7,5,English Pale Ale / Bitter / ESB,"Massachusetts, United States",Craft,5.6%,40,"Balanced, Caramel, Honey, Round, Smooth","Beef, Cheese - Fresh & Soft, Cheese - Stinky, Chicken, Duck & Game Bird, Fish - Meaty & Oily, Fish - White, Salads & Greens, Shellfish, Turkey","Pint Glass, Stein/Pub Mug",45-50° F,,,
Crabbie's Original Alcoholic Ginger Beer,25.5,4.7,7,Hard Soda,United Kingdom,,4.8%,,"Flavored, Bright, Sweet, Bold","Dessert - Fruit, Shellfish",Pint Glass,50-55° F,,,
JuneShine Hard Kombucha Grapefruit Paloma,15.99,4.5,1,Hard Kombucha,"California, United States","Craft, Independent Craft Brewer",6%,,"Citrus, Crisp, Fresh, Fruity, Grapefruit",,,,,,"Gluten-Free, Kosher, Organic"
Brooklyn Pulp Art Hazy IPA,11.99,4.4,1,New England / Hazy IPA,"New York, United States","Craft, Independent Craft Brewer",6.5%,35,"Citrus, Fresh, Fruity, Guava, Hoppy, Melon, Passionfruit, Pineapple, Tropical, Tropical Fruit","Beef, Cheese - Nutty & Semi-Firm, Chicken, Dessert - Fruit, Fruit - Sweet, Salads & Greens, Tomatoes",Snifter/Goblet/Chalice,45-50° F,,,
Stone Brewing Buenaveza Salt & Lime Lager,12.05,4.6,434,American-Style Lager,"California, United States",Craft,4.7%,13,,,Pilsner Glass,35-40° F,,,
